Area,Bedrooms,Age,Price
750,2,10,32
820,2,8,38
900,2,6,45
950,3,8,52
1100,3,5,60
1150,3,4,63
1200,3,7,58
1250,3,3,70
1300,3,2,74
1400,3,2,78
1500,3,1,85
1550,3,2,88
1600,3,4,82
1700,3,5,80
1800,3,4,90
1850,3,3,95
1900,4,2,110
2000,4,3,115
2100,4,4,112
2200,4,5,108
2300,4,4,120
2400,4,3,125
2500,4,2,130
2600,4,1,138
2700,4,2,142
2800,4,3,140
2900,4,4,135
3000,4,2,150
3100,5,3,160
3200,5,2,170
3300,5,1,180
3400,5,2,185
3500,5,3,178
3600,5,4,172
3700,5,5,165
3800,5,4,175
3900,5,3,188
4000,5,2,195
4100,5,2,198
4200,5,3,190
4300,5,4,185
4400,5,3,200
4500,5,2,210
4600,6,3,240
4700,6,2,250
4800,6,1,260
4900,6,2,255
5000,6,3,245
